Genus	Subfamily	Family	Accession	Phage	Genome	Genome size
Yonseivirus		Casjensviridae	MF415410	Klebsiella phage KPN N137	dsDNA	59100
Yonseivirus		Casjensviridae	MH817999	Klebsiella phage Seifer	dsDNA	58197
Zhonglingvirus		Casjensviridae	LC553736	Salmonella phage SAP012	dsDNA	59618
Carltongylesvirus	Cleopatravirinae	Chaseviridae	MN117721	Escherichia phage vB_EcoP_Bp7	dsDNA	52615
Carltongylesvirus	Cleopatravirinae	Chaseviridae	MN122072	Escherichia phage vB_EcoM_Bp10	dsDNA	52288
Faunusvirus	Cleopatravirinae	Chaseviridae	MH191398	Erwinia phage Faunus	dsDNA	54065
Fifivirus	Cleopatravirinae	Chaseviridae	OQ818694	Erwinia phage Aioli	dsDNA	53903
Fifivirus	Cleopatravirinae	Chaseviridae	PQ431420	Erwinia phage EaPF7	dsDNA	54114
Loessnervirus	Cleopatravirinae	Chaseviridae	OQ818698	Erwinia phage Fougasse	dsDNA	54213
Loessnervirus	Cleopatravirinae	Chaseviridae	OQ818704	Erwinia phage Papaline	dsDNA	54761
Myducvirus	Cleopatravirinae	Chaseviridae	MN098326	Proteus phage Myduc	dsDNA	53392
Qiaoyingvirus	Cleopatravirinae	Chaseviridae	PP763568	Aeromonas phage phiA050	dsDNA	53322
Sabourvirus	Cleopatravirinae	Chaseviridae	MN136198	Escherichia phage vB_EcoM-4HA13	dsDNA	52401
Suwonvirus	Cleopatravirinae	Chaseviridae	KF534715	Pectobacterium phage PM1	dsDNA	55098
Suwonvirus	Cleopatravirinae	Chaseviridae	KY087898	Pectobacterium phage PP101	dsDNA	53333
Liaoningvirus	Nefertitivirinae	Chaseviridae	OP056089	Vibrio phage vB_VpaM_VPs20	dsDNA	53793
Longwangvirus	Nefertitivirinae	Chaseviridae	OL770365	Aeromonas phage BUCT696	dsDNA	53372
Longwangvirus	Nefertitivirinae	Chaseviridae	OR795024	Aeromonas phage vB_AhydM-H1	dsDNA	52614
Pahsextavirus	Nefertitivirinae	Chaseviridae	KJ858521	Aeromonas phage pAh6-C	dsDNA	53744
Phayathaivirus	Nefertitivirinae	Chaseviridae	MZ336020	Aeromonas phage pAh6.2TG	dsDNA	51780
Phayathaivirus	Nefertitivirinae	Chaseviridae	MW380983	Aeromonas phage PVN03	dsDNA	50725
Shantouvirus	Nefertitivirinae	Chaseviridae	PV258714	Aeromonas phage LA93P1	dsDNA	52196
Shantouvirus	Nefertitivirinae	Chaseviridae	OM810291	Aeromonas phage ZPAH14	dsDNA	57429
Yushanvirus	Nefertitivirinae	Chaseviridae	KJ002054	Shewanella phage Spp001	dsDNA	54791
Yushanvirus	Nefertitivirinae	Chaseviridae	KY709296	Shewanella phage SppYZU05	dsDNA	54319
Aphroditevirus	Gorgonvirinae	Chimalliviridae	MG720308	Vibrio phage Aphrodite1	dsDNA	237722
Aphroditevirus	Gorgonvirinae	Chimalliviridae	MK368614	Vibrio phage 2 TSL-2019	dsDNA	242446
Tidunavirus	Gorgonvirinae	Chimalliviridae	AP017972	Vibrio phage pTD1	dsDNA	239276
Tidunavirus	Gorgonvirinae	Chimalliviridae	KC131130	Vibrio phage VP4B	dsDNA	236053
Agricanvirus		Chimalliviridae	KU886225	Erwinia phage vB_EamM_Deimos-Minion	dsDNA	273501
Agricanvirus		Chimalliviridae	MG655268	Erwinia phage vB_EamM_Desertfox	dsDNA	272458
Branisovskavirus		Chimalliviridae	MZ348422	Kosakonia phage Kc263	dsDNA	253740
Chaoshanvirus		Chimalliviridae	OM810292	Aeromonas phage ZPAH34	dsDNA	234546
Chiangmaivirus		Chimalliviridae	AP014927	Ralstonia phage RSF1	dsDNA	222888
Chiangmaivirus		Chimalliviridae	AP014693	Ralstonia phage RSL2	dsDNA	223932
Derbicusvirus		Chimalliviridae	MK514282	Erwinia phage Derbicus	dsDNA	223950
Elvirus		Chimalliviridae	AJ697969	Pseudomonas phage EL	dsDNA	211215
Eowynvirus		Chimalliviridae	LR881104	Klebsiella phage vB_KvM-Eowyn	dsDNA	265389
Erskinevirus		Chimalliviridae	KX397364	Erwinia phage vB_EamM_Asesino	dsDNA	246290
Erskinevirus		Chimalliviridae	JX316028	Erwinia phage PhiEaH2	dsDNA	243050
Ferozepurvirus		Chimalliviridae	OL964756	Aeromonas phage pAEv1810	dsDNA	235066
Ferozepurvirus		Chimalliviridae	MN032614	Aeromonas phage PS1	dsDNA	237367
Goslarvirus		Chimalliviridae	MK327938	Escherichia phage vB_EcoM_Goslar	dsDNA	237307
Iapetusvirus		Chimalliviridae	KF623294	Erwinia phage PhiEaH1	dsDNA	218339
Ludhianavirus		Chimalliviridae	MN102098	Aeromonas phage D3	dsDNA	262372
Ludhianavirus		Chimalliviridae	MN131137	Aeromonas phage D6	dsDNA	259831
Maaswegvirus		Chimalliviridae	OZ240615	Klebsiella phage vB_KpM_Centimanus	dsDNA	299730
Maaswegvirus		Chimalliviridae	MW394391	Klebsiella phage vB_KpM_FBKp24	dsDNA	307210
Machinavirus		Chimalliviridae	KX397370	Erwinia phage Machina	dsDNA	241654
Meadowvirus		Chimalliviridae	MZ501267	Erwinia phage AH04	dsDNA	262639
Miamivirus		Chimalliviridae	MT701590	Klebsiella phage Miami	dsDNA	253383
Miltoncavirus		Chimalliviridae	HQ630627	Pseudomonas phage PhiPA3	dsDNA	309208
Moabitevirus		Chimalliviridae	MK994515	Serratia phage Moabite	dsDNA	273933
Moabitevirus		Chimalliviridae	MF285618	Serratia phage vB_SmaM_ 2050HW	dsDNA	276025
Nimduovirus		Chimalliviridae	MN642089	Klebsiella phage N1M2	dsDNA	253367
Noxifervirus		Chimalliviridae	MF063068	Pseudomonas phage Noxifer	dsDNA	278136
Pawinskivirus		Chimalliviridae	MN103543	Pseudomonas phage vB_PaeM_PS119XW	dsDNA	301543
Petsuvirus		Chimalliviridae	MK689364	Edwardsiella phage pEt-SU	dsDNA	276734
Phabiovirus		Chimalliviridae	MF042360	Pseudomonas phage Phabio	dsDNA	309157
Phikzvirus		Chimalliviridae	JX233784	Pseudomonas phage PA7	dsDNA	266743
Phikzvirus		Chimalliviridae	AF399011	Pseudomonas phage phiKZ	dsDNA	280334
Ripduovirus		Chimalliviridae	AP017924	Ralstonia phage RP12	dsDNA	279845
Risingsunvirus		Chimalliviridae	MF459646	Erwinia phage vB_EamM_RisingSun	dsDNA	235108
Seoulvirus		Chimalliviridae	JN641803	Salmonella phage SPN3US	dsDNA	240413
Serwervirus		Chimalliviridae	EU197055	Pseudomonas phage 201phi2-1	dsDNA	316674
Siatvirus		Chimalliviridae	MN871446	Klebsiella phage KpLz-2_45	dsDNA	296707
Tepukevirus		Chimalliviridae	MK552327	Pseudomonas phage Psa21	dsDNA	305260
Wellingtonvirus		Chimalliviridae	MH426724	Erwinia phage Wellington	dsDNA	244950
Lomovskayavirus		Colingsworthviridae	AJ550940	Streptomyces phage phiBT1	dsDNA	41831
Lomovskayavirus		Colingsworthviridae	AJ006589	Streptomyces phage phi-C31	dsDNA	41491
Sebastisaurusvirus		Colingsworthviridae	MK686069	Streptomyces phage Heather	dsDNA	41238
Sebastisaurusvirus		Colingsworthviridae	MK686068	Streptomyces phage RemusLoopin	dsDNA	41376
Shadyvirus		Colingsworthviridae	MT701596	Streptomyces phage Shady	dsDNA	45128
Shaekyvirus		Colingsworthviridae	MT701595	Streptomyces phage Shaeky	dsDNA	45617
Sycamorevirus		Colingsworthviridae	MT701593	Streptomyces phage Sycamore	dsDNA	44694
Tigunavirus		Colingsworthviridae	JX182372	Streptomyces phage TG1	dsDNA	40474
Vashvirus		Colingsworthviridae	MK450426	Streptomyces phage Euratis	dsDNA	41403
Vashvirus		Colingsworthviridae	MK450431	Streptomyces phage Lilbooboo	dsDNA	41267
Firehammervirus		Connertonviridae	MW074125	Campylobacter phage CJLB-12	dsDNA	159905
Firehammervirus		Connertonviridae	MW074126	Campylobacter phage CJLB-14	dsDNA	157531
Fletchervirus		Connertonviridae	MW057933	Campylobacter phage CJLB-7	dsDNA	124324
Fletchervirus		Connertonviridae	MW074124	Campylobacter phage CJLB-10	dsDNA	123818
Cetovirus	Ermolyevavirinae	Demerecviridae	MG649966	Vibrio phage Ceto	dsDNA	128241
Jesfedecavirus	Ermolyevavirinae	Demerecviridae	KY883654	Vibrio phage JSF10	dsDNA	111671
Jesfedecavirus	Ermolyevavirinae	Demerecviridae	KY883655	Vibrio phage JSF12	dsDNA	111671
Thalassavirus	Ermolyevavirinae	Demerecviridae	MK796244	Vibrio phage Achelous	dsDNA	121089
Thalassavirus	Ermolyevavirinae	Demerecviridae	MT460514	Vibrio phage AG74	dsDNA	126504
Vipunavirus	Ermolyevavirinae	Demerecviridae	JQ340389	Vibrio phage pVP-1	dsDNA	111506
Epseptimavirus	Markadamsvirinae	Demerecviridae	KU927497	Salmonella phage 100268_sal2	dsDNA	125114
Epseptimavirus	Markadamsvirinae	Demerecviridae	KX017521	Salmonella phage 118970_sal2	dsDNA	114180
Kononvirus	Markadamsvirinae	Demerecviridae	PP579741	Enterobacter siphophage KKP_3711	dsDNA	113711
Tequintavirus	Markadamsvirinae	Demerecviridae	MW149273	Salmonella phage vB_SalS_ABTNLsp4	dsDNA	106178
Tequintavirus	Markadamsvirinae	Demerecviridae	MW149275	Salmonella phage vB_SalS_ABTNLsp9	dsDNA	109695
Hongcheonvirus	Mccorquodalevirinae	Demerecviridae	MF979564	Pectobacterium phage DU_PP_V	dsDNA	106185
Myunavirus	Mccorquodalevirinae	Demerecviridae	JX195166	Pectobacterium phage My1	dsDNA	122024
Keyvirus		Demerecviridae	MK770119	Pantoea phage vB_PagS_AAS21	dsDNA	116649
Keyvirus		Demerecviridae	MZ616364	Erwinia phage Key	dsDNA	115651
Novosibvirus		Demerecviridae	MG030347	Proteus phage PM135	dsDNA	104329
Novosibvirus		Demerecviridae	MH830339	Proteus phage Stubb	dsDNA	104410
Pogseptimavirus		Demerecviridae	MH645904	Vibrio phage vB_VpS_PG07	dsDNA	112106
Pogseptimavirus		Demerecviridae	MH925094	Vibrio phage VspSw_1	dsDNA	113760
Priunavirus		Demerecviridae	KY363465	Providencia phage vB_PreS_PR1	dsDNA	118537
Priunavirus		Demerecviridae	MW057857	Providencia phage PSTCR5	dsDNA	109434
Shenzhenvirus		Demerecviridae	MG676224	Aeromonas phage AhSzq-1	dsDNA	112558
Shenzhenvirus		Demerecviridae	MG676225	Aeromonas phage AhSzw-1	dsDNA	115739
Sugarlandvirus		Demerecviridae	MN434094	Klebsiella phage AmPh_EK80	dsDNA	112215
Sugarlandvirus		Demerecviridae	LR881109.1	Klebsiella phage vB_KppS-Anoxic	dsDNA	109500
Augustepiccardvirus	Braunvirinae	Drexlerviridae	MZ501051	Escherichia phage AugustePiccard	dsDNA	50126
Christensenvirus	Braunvirinae	Drexlerviridae	MK372342	Escherichia phage vB_EcoS_IME542	dsDNA	46553
Guelphvirus	Braunvirinae	Drexlerviridae	JN986845	Escherichia phage vB_EcoS_ACG-M12	dsDNA	46054
Guelphvirus	Braunvirinae	Drexlerviridae	ON081052	Escherichia phage vB_EcoS_SCS31	dsDNA	46054
Inhoffenstrassevirus	Braunvirinae	Drexlerviridae	MK373793	Escherichia phage vB_EcoS_MM01	dsDNA	43157
Julespiccardvirus	Braunvirinae	Drexlerviridae	MZ501087	Escherichia phage JulesPiccard	dsDNA	47731
Loudonvirus	Braunvirinae	Drexlerviridae	MG050172	Escherichia phage DTL	dsDNA	45814
Loudonvirus	Braunvirinae	Drexlerviridae	KY398841	Escherichia phage vB_Ecos_CEB_EC3a	dsDNA	44234
Rtpvirus	Braunvirinae	Drexlerviridae	KX130960	Escherichia phage vB_EcoS-IME253	dsDNA	46717
Rtpvirus	Braunvirinae	Drexlerviridae	AM156909	Escherichia phage Rtp	dsDNA	46219
Veterinaerplatzvirus	Braunvirinae	Drexlerviridae	MT682706	Escherichia phage vB_EcoS_FP	dsDNA	43757
Veterinaerplatzvirus	Braunvirinae	Drexlerviridae	MZ501080	Escherichia phage JeanPiccard strain Bas02	dsDNA	47149
Eastlansingvirus	Rogunavirinae	Drexlerviridae	MF158039	Shigella phage Sf12	dsDNA	47647
Lindendrivevirus	Rogunavirinae	Drexlerviridae	JF770475	Escherichia phage phiEB49	dsDNA	47180
Rogunavirus	Rogunavirinae	Drexlerviridae	KF771237	Escherichia phage vB_EcoS_AHP42	dsDNA	46847
Rogunavirus	Rogunavirinae	Drexlerviridae	KF771238	Escherichia phage vB_EcoS_AHS24	dsDNA	46440
Sadiyavirus	Rogunavirinae	Drexlerviridae	OL539467	Escherichia phage vB_EcoD_Sadiya	dsDNA	48303
Wilsonroadvirus	Rogunavirinae	Drexlerviridae	MF158042	Shigella phage Sd1	dsDNA	48262
Baihuvirus	Tempevirinae	Drexlerviridae	MN090155	Escherichia phage vB_EcoS_PHB17	dsDNA	48939
Changchunvirus	Tempevirinae	Drexlerviridae	MZ501099	Escherichia phage PaulSarasin strain Bas09	dsDNA	51285
Changchunvirus	Tempevirinae	Drexlerviridae	MK778457	Escherichia phage vB_EcoS_W011D	dsDNA	49847
Hanrivervirus	Tempevirinae	Drexlerviridae	MN850591	Escherichia phage aalborv	dsDNA	46660
Hanrivervirus	Tempevirinae	Drexlerviridae	MN850572	Escherichia phage aaroes	dsDNA	51662
Henuseptimavirus	Tempevirinae	Drexlerviridae	MN019128	Escherichia phage Henu7	dsDNA	49526
Henuseptimavirus	Tempevirinae	Drexlerviridae	MZ501077	Escherichia phage IsaakIselin	dsDNA	49911
Jahatvirus	Tempevirinae	Drexlerviridae	MK552105	Escherichia phage Jahat_MG145	dsDNA	50984
Peekayseptimavirus	Tempevirinae	Drexlerviridae	OM317910	Klebsiella phage P-K7R	dsDNA	52111
Pocisvirus	Tempevirinae	Drexlerviridae	MW689258	Hafnia phage Pocis76	dsDNA	48795
Tlsvirus	Tempevirinae	Drexlerviridae	OL539462	Citrobacter phage vB_CfrD_BlueShadow	dsDNA	49619
Tlsvirus	Tempevirinae	Drexlerviridae	OL539443	Citrobacter phage vB_CfrD_Brooksby	dsDNA	50071
Warwickvirus	Tempevirinae	Drexlerviridae	MN850620	Escherichia phage atuna	dsDNA	50732
Warwickvirus	Tempevirinae	Drexlerviridae	MN850582	Escherichia phage ityhuna	dsDNA	50768
Badaguanvirus	Tunavirinae	Drexlerviridae	MH051918	Escherichia phage vB_EcoS_IME347	dsDNA	50048
Sertoctavirus	Tunavirinae	Drexlerviridae	MZ501053	Escherichia phage BrunoManser	dsDNA	49298
Sertoctavirus	Tunavirinae	Drexlerviridae	MF996376	Escherichia phage SRT8	dsDNA	49579
Tunavirus	Tunavirinae	Drexlerviridae	JX912252	Escherichia phage ADB-2	dsDNA	50552
Tunavirus	Tunavirinae	Drexlerviridae	MH285980	Escherichia phage Eco_BIFF	dsDNA	49372
Eclunavirus		Drexlerviridae	MG732930	Enterobacter phage Ec_L1	dsDNA	51894
Hicfunavirus		Drexlerviridae	MN545971	Citrobacter phage HCF1	dsDNA	45806
Jhansiroadvirus		Drexlerviridae	MT360682	Vibrio phage VC1	dsDNA	47778
Kyungwonvirus		Drexlerviridae	MH845412	Cronobacter phage CS01	dsDNA	48195
Kyungwonvirus		Drexlerviridae	JF912400	Cronobacter phage ESP2949-1	dsDNA	49116
Nouzillyvirus		Drexlerviridae	KY619305	Escherichia phage vB_EcoS_ESCO41	dsDNA	50800
Sauletekiovirus		Drexlerviridae	MK095606	Pantoea phage vB_PagS_AAS23	dsDNA	51170
Vilniusvirus		Drexlerviridae	KX130668	Escherichia phage vB_EcoS_NBD2	dsDNA	51802
Webervirus		Drexlerviridae	OL865411	Klebsiella phage vB_1086	dsDNA	49473
Webervirus		Drexlerviridae	MW042802	Klebsiella phage 066039	dsDNA	51633
Ingelinevirus		Duneviridae	MT732435	Cellulophaga phage Ingeline_1	dsDNA	42624
Labanvirus		Duneviridae	MN812211	Flavobacterium phage vB_FspS_laban6-1	dsDNA	43236
Unahavirus		Duneviridae	KU599889	Flavobacterium phage 1H	dsDNA	39290
Unahavirus		Duneviridae	KU599888	Flavobacterium phage 23T	dsDNA	43226
Anathvirus		Ehrlichviridae	MG983742	Bacillus phage Anath	dsDNA	52369
Andromedavirus		Ehrlichviridae	KC330684	Bacillus phage Andromeda	dsDNA	49259
Andromedavirus		Ehrlichviridae	KF669648	Bacillus phage Blastoid	dsDNA	50354
Chennaivirus		Ehrlichviridae	OR670591	Staphylococcus phage MVC_VPHSA1	dsDNA	51392
Dazunavirus		Ehrlichviridae	OR338916	Bacillus phage DZ1	dsDNA	49867
Gettysburgvirus		Ehrlichviridae	MN176220	Bacillus phage 019DV002	dsDNA	52749
Gettysburgvirus		Ehrlichviridae	MN176230	Bacillus phage 056SW001B	dsDNA	52692
Nairobivirus		Ehrlichviridae	MH884513	Bacillus phage vB_BpsS-36	dsDNA	50485
Suttonboningtonvirus		Ehrlichviridae	MT700412	Bacillus phage 1_ICo-2020	dsDNA	51227
Chronisvirus	Maevirinae	Felixviridae	MN013086	Klebsiella phage vB_Kpn_Chronis	dsDNA	45702
Certevirus		Felixviridae	OL396571	Pantoea phage PdC23	dsDNA	44715
Nakavirus		Felixviridae	PP934563	Klebsiella phage RothC	dsDNA	46433
Freyavirus		Forsetiviridae	MT732458	Polaribacter phage Danklef_1	dsDNA	47186
Freyavirus		Forsetiviridae	MT732463	Polaribacter phage Freya_1	dsDNA	43978
Jamesmcgillvirus		Fredfastierviridae	DQ163914	Pseudomonas phage 119X	dsDNA	43365
Jamesmcgillvirus		Fredfastierviridae	KU884563	Pseudomonas phage PaMx41	dsDNA	43490
Aquaneticvirus		Grimontviridae	OP491958	Aeromonas phage APT65	dsDNA	85188
Crifsvirus		Grimontviridae	MW343794	Cronobacter phage A24	dsDNA	75106
Crifsvirus		Grimontviridae	JN882286	Cronobacter phage vB_CsaP_GAP52	dsDNA	76631
Dalianvirus		Grimontviridae	MG603697	Vibrio phage Vp_R1	dsDNA	112127
Lahexavirus		Grimontviridae	MK838112	Aeromonas phage LAh_6	dsDNA	101390
Lahexavirus		Grimontviridae	MK838114	Aeromonas phage LAh_8	dsDNA	97408
Libingvirus		Grimontviridae	OL799327	Aeromonas phage BUCT695	dsDNA	86289
Lundtoftevirus		Grimontviridae	OQ829281	IncN phage Lu221	dsDNA	76397
Moazamivirus		Grimontviridae	HM997019	Salmonella phage 7-11	dsDNA	89916
Moazamivirus		Grimontviridae	MG873442	Salmonella phage SE131	dsDNA	89910
Privateervirus		Grimontviridae	MT740244	Proteus phage 3H10_20	dsDNA	90382
Privateervirus		Grimontviridae	MT664722	Proteus phage Vb_PmiP-P59	dsDNA	90187
Capvunavirus	Denniswatsonvirinae	Guelinviridae	HM640230	Clostridium phage CpV1	dsDNA	16748
Gregsiragusavirus	Denniswatsonvirinae	Guelinviridae	MH999279	Clostridium phage CPD2	dsDNA	18212
Gregsiragusavirus	Denniswatsonvirinae	Guelinviridae	OQ737697	Clostridium phage cpp	dsDNA	19564
Brucesealvirus		Guelinviridae	JQ729990	Clostridium phage phiCP7R	dsDNA	18397
Brucesealvirus		Guelinviridae	MZ401005	Clostridium phage CPQ3	dsDNA	18246
Hzauvirus		Guelinviridae	OM638104	Clostridium phage LPCPA6	dsDNA	18554
Susfortunavirus		Guelinviridae	OP256049	Clostridium phage Dcp1	dsDNA	18555
Susfortunavirus		Guelinviridae	OP894055	Clostridium phage vB_CP_gdyz_P5	dsDNA	18888
Leefvirus		Helgolandviridae	MT732473	Polaribacter phage Leef_1	dsDNA	37547
Agatevirus	Bastillevirinae	Herelleviridae	JX238501	Bacillus phage phiAGATE	dsDNA	149844
Agatevirus	Bastillevirinae	Herelleviridae	KM051843	Bacillus phage Bobb	dsDNA	160281
Bastillevirus	Bastillevirinae	Herelleviridae	JF966203	Bacillus phage Bastille	dsDNA	153962
Bastillevirus	Bastillevirinae	Herelleviridae	KJ489397	Bacillus phage CAM003	dsDNA	160541
Bequatrovirus	Bastillevirinae	Herelleviridae	KT307976	Bacillus phage AvesoBmore	dsDNA	167431
Bequatrovirus	Bastillevirinae	Herelleviridae	JN790865	Bacillus phage B4	dsDNA	162596
Caeruleovirus	Bastillevirinae	Herelleviridae	JX094431	Bacillus phage vB_BceM_Bc431v3	dsDNA	158621
Caeruleovirus	Bastillevirinae	Herelleviridae	KJ451625	Bacillus phage Bcp1	dsDNA	152778
Eldridgevirus	Bastillevirinae	Herelleviridae	KU253712	Bacillus phage Eldridge	dsDNA	165868
Goettingenvirus	Bastillevirinae	Herelleviridae	MN043729	Bacillus phage vB_BmeM-Goe8	dsDNA	161583
Grisebachstrassevirus	Bastillevirinae	Herelleviridae	KY368640	Bacillus phage vB_BsuM-Goe3	dsDNA	156430
Jeonjuvirus	Bastillevirinae	Herelleviridae	MH606185	Bacillus phage BSP38	dsDNA	153268
Matervirus	Bastillevirinae	Herelleviridae	KM236245	Bacillus phage Mater	dsDNA	164302
Moonbeamvirus	Bastillevirinae	Herelleviridae	KM236246	Bacillus phage Moonbeam	dsDNA	161239
Nitunavirus	Bastillevirinae	Herelleviridae	KF669652	Bacillus phage Grass	dsDNA	156648
Nitunavirus	Bastillevirinae	Herelleviridae	AP013029	Bacillus phage phiNIT1	dsDNA	155631
Shalavirus	Bastillevirinae	Herelleviridae	KU640380	Bacillus phage Shbh1	dsDNA	138081
Siophivirus	Bastillevirinae	Herelleviridae	KC699836	Bacillus phage SIOphi	dsDNA	146698
Tsarbombavirus	Bastillevirinae	Herelleviridae	JN797797	Bacillus phage BCP78	dsDNA	156176
Tsarbombavirus	Bastillevirinae	Herelleviridae	JN797798	Bacillus phage BCU4	dsDNA	154371
Wphvirus	Bastillevirinae	Herelleviridae	JN654439	Bacillus phage BPS13	dsDNA	158305
Wphvirus	Bastillevirinae	Herelleviridae	KC430106	Bacillus phage BPS10C	dsDNA	159590
Kochikohdavirus	Brockvirinae	Herelleviridae	ON113169	Enterococcus phage vB_OCPT_Bob	dsDNA	142921
Kochikohdavirus	Brockvirinae	Herelleviridae	ON113168	Enterococcus phage vB_OCPT_Car	dsDNA	141483
Schiekvirus	Brockvirinae	Herelleviridae	CAJDKA010000002	Enterococcus phage 163	dsDNA	150836
Schiekvirus	Brockvirinae	Herelleviridae	MT856905	Enterococcus phage vB_EfaM_A2	dsDNA	149431
Pecentumvirus	Jasinskavirinae	Herelleviridae	DQ003638	Listeria phage A511	dsDNA	137619
Pecentumvirus	Jasinskavirinae	Herelleviridae	JQ797329	Listeria phage vB_LmoM_AG20	dsDNA	133057
Okubovirus	Spounavirinae	Herelleviridae	KF669649	Bacillus phage CampHawk	dsDNA	146193
Okubovirus	Spounavirinae	Herelleviridae	FJ230960	Bacillus phage SPO1	dsDNA	132562
Siminovitchvirus	Spounavirinae	Herelleviridae	KF554508	Bacillus phage CP-51	dsDNA	138658
Siminovitchvirus	Spounavirinae	Herelleviridae	KC595512	Bacillus phage JL	dsDNA	137918
Baoshanvirus	Twortvirinae	Herelleviridae	MH078572	Staphylococcus phage phiSA_BS1	dsDNA	142978
Baoshanvirus	Twortvirinae	Herelleviridae	MH028956	Staphylococcus phage phiSA_BS2	dsDNA	149229
Kayvirus	Twortvirinae	Herelleviridae	AY954969	Staphylococcus phage G1	dsDNA	138715
Kayvirus	Twortvirinae	Herelleviridae	JX080302	Staphylococcus phage 676Z	dsDNA	148564
Sciuriunavirus	Twortvirinae	Herelleviridae	KX171212	Staphylococcus phage vB_SscM-1	dsDNA	139681
Sepunavirus	Twortvirinae	Herelleviridae	KP027447	Staphylococcus phage vB_SepM_ phiIPLA-C1C	dsDNA	140961
Sepunavirus	Twortvirinae	Herelleviridae	KF021268	Staphylococcus phage phiIBB-SEP1	dsDNA	139928
Silviavirus	Twortvirinae	Herelleviridae	JX846612	Staphylococcus phage vB_SauM_Remus	dsDNA	134643
Silviavirus	Twortvirinae	Herelleviridae	JX846613	Staphylococcus phage vB_SauM_Romulus	dsDNA	131332
Twortvirus	Twortvirinae	Herelleviridae	AY954970	Staphylococcus phage Twort	dsDNA	130706
Elpedvirus		Herelleviridae	MF787246	Lactobacillus phage LpeD	dsDNA	145162
Harbinvirus		Herelleviridae	MG765277	Lactobacillus phage Bacchae	dsDNA	141124
Harbinvirus		Herelleviridae	MH809531	Lactobacillus phage Bromius	dsDNA	140527
Hopescreekvirus		Herelleviridae	KP054477	Lactobacillus phage LfeInf	dsDNA	106071
Klumppvirus		Herelleviridae	HM242243	Brochothrix phage A9	dsDNA	127065
Mooreparkvirus		Herelleviridae	FJ822135	Lactobacillus phage Lb338-1	dsDNA	142111
Salchichonvirus		Herelleviridae	AY682195	Lactobacillus phage LP65	dsDNA	131522
Tybeckvirus		Herelleviridae	MK504446	Lactobacillus phage SAC12B	dsDNA	136608
Tybeckvirus		Herelleviridae	MK504443	Lactobacillus phage 521B	dsDNA	136442
Watanabevirus		Herelleviridae	MK504444	Lactobacillus phage 3-521	dsDNA	140816
Ankaravirus		Hirszfeldviridae	OR045356	Acinetobacter phage Ab69	dsDNA	45076
Beijingvirus		Hirszfeldviridae	MH853787	Acinetobacter phage vB_AbaM_IME284	dsDNA	43557
Brutusvirus		Hirszfeldviridae	ON036882	Acinetobacter phage Brutus	dsDNA	44931
Burnvirus		Hirszfeldviridae	PV437273	Acinetobacter phage vB_AbaM_A72	dsDNA	44172
Burnvirus		Hirszfeldviridae	PV471308	Acinetobacter phage HN_Aba_01	dsDNA	44416
Cairovirus		Hirszfeldviridae	PV468792	Acinetobacter phage RM_A1	dsDNA	43994
Cairovirus		Hirszfeldviridae	PV536160	Acinetobacter phage RM_A2	dsDNA	42428
Chinavirus		Hirszfeldviridae	MZ593728	Acinetobacter phage BUCT628	dsDNA	44935
Ganjingzivirus		Hirszfeldviridae	OP585104	Acinetobacter phage vB_AbaM_BP10	dsDNA	44443
Guangzhouvirus		Hirszfeldviridae	OR526523	Acinetobacter phage vB_AbaM_AB3P2	dsDNA	44824
Guizhouvirus		Hirszfeldviridae	MZ618622	Acinetobacter phage Abp95	dsDNA	43176
Helsinkivirus		Hirszfeldviridae	PQ516282	Acinetobacter phage vB_AQ1	dsDNA	43868
Helsinkivirus		Hirszfeldviridae	PP171454	Acinetobacter phage vB_AbaM_fThrA	dsDNA	44947
Kenyavirus		Hirszfeldviridae	PP841127	Acinetobacter phage vB_Ab_01_KEN_01	dsDNA	43518
Miklukhovirus		Hirszfeldviridae	OM471864	Acinetobacter phage Cato	dsDNA	45188
Nosocomialisvirus		Hirszfeldviridae	PQ227708	Acinetobacter phage vB_Aba_QH4	dsDNA	45107
Nosocomialisvirus		Hirszfeldviridae	OQ547903	Acinetobacter phage XC1	dsDNA	45324
Obolenskvirus		Hirszfeldviridae	OR180310	Acinetobacter phage A832.1	dsDNA	44699
Obolenskvirus		Hirszfeldviridae	JX976549	Acinetobacter phage vB_AbaM-IME-AB2	dsDNA	43665
Pakistanvirus		Hirszfeldviridae	OR665530	Acinetobacter phage SR	dsDNA	45218
Pittiivirus		Hirszfeldviridae	OR791279	Acinetobacter phage vB_ApiM_IME-Ap7	dsDNA	45048
Polandvirus		Hirszfeldviridae	PV067692	Acinetobacter phage Acba_21	dsDNA	44724
Polandvirus		Hirszfeldviridae	PP355976	Acinetobacter phage vB_AbaM_YNAF	dsDNA	45679
Scipiovirus		Hirszfeldviridae	ON036883	Acinetobacter phage Scipio	dsDNA	44602
Sichuanvirus		Hirszfeldviridae	PP841134	Acinetobacter phage vB_Ab_02_KEN_02	dsDNA	45068
Sichuanvirus		Hirszfeldviridae	MN166083	Acinetobacter phage Abp9	dsDNA	44820
Theraphagusvirus		Hirszfeldviridae	HE806280	Acinetobacter phage AP22	dsDNA	46387
